Nombre de Linea de pedido oportunidad,Quantity,Oportunidad,Producto
addition,943,a005f000002I7uvAAC,a045f000002aagUAAQ
pleasure,500,a005f000002I7uwAAC,a045f000002aakyAAA
against,1031,a005f000002I7uxAAC,a045f000002aakzAAA
stage,948,a005f000002I7uyAAC,a045f000002aal0AAA
children,502,a005f000002I7uzAAC,a045f000002aal1AAA
climate,472,a005f000002I7v0AAC,a045f000002aal2AAA
sound,917,a005f000002I7v1AAC,a045f000002aal3AAA
trouble,223,a005f000002I7v2AAC,a045f000002aal4AAA
eager,1091,a005f000002I7v3AAC,a045f000002aakoAAA
exactly,576,a005f000002I7d6AAC,a045f000002aakpAAA
bear,530,a005f000002I7d8AAC,a045f000002aakqAAA
motion,567,a005f000002I7dAAAS,a045f000002aakrAAA
gold,423,a005f000002I7dBAAS,a045f000002aaksAAA
popular,950,a005f000002I7dCAAS,a045f000002aaktAAA
row,391,a005f000002I7dDAAS,a045f000002aakuAAA
planned,137,a005f000002I7dFAAS,a045f000002aakvAAA
calm,444,a005f000002I7dGAAS,a045f000002aakwAAA
follow,502,a005f000002I7cnAAC,a045f000002aakxAAA
parts,356,a005f000002I7coAAC,a045f000002aakyAAA
goose,271,a005f000002I7cpAAC,a045f000002aakzAAA
wind,248,a005f000002I7crAAC,a045f000002aal0AAA
point,238,a005f000002I7csAAC,a045f000002aal1AAA
occur,762,a005f000002I7ctAAC,a045f000002aal2AAA
captured,339,a005f000002I7cuAAC,a045f000002aal3AAA
high,100,a005f000002I7cvAAC,a045f000002aal4AAA
harder,39,a005f000002I7d1AAC,a045f000002aal5AAA
owner,857,a005f000002I7uuAAC,a045f000002aal6AAA
quite,282,a005f000002I7uvAAC,a045f000002aal7AAA
came,759,a005f000002I7uwAAC,a045f000002aal8AAA
steep,1052,a005f000002I7uxAAC,a045f000002aal9AAA
fox,760,a005f000002I7uyAAC,a045f000002aalAAAQ
among,451,a005f000002I7uzAAC,a045f000002aalBAAQ
got,1084,a005f000002I7v0AAC,a045f000002aalCAAQ
activity,978,a005f000002I7v1AAC,a045f000002aakzAAA
colony,630,a005f000002I7v2AAC,a045f000002aal0AAA
ipsum,746,a005f000002I7v3AAC,a045f000002aal1AAA
neque,1063,a005f000002I7v4AAC,a045f000002aal2AAA
tristique,132,a005f000002I7ckAAC,a045f000002aal3AAA
massa,909,a005f000002I7clAAC,a045f000002aal4AAA
velit,423,a005f000002I7cmAAC,a045f000002aal5AAA
Nullam,187,a005f000002I7cnAAC,a045f000002aal6AAA
libero,960,a005f000002I7coAAC,a045f000002aal7AAA
diam,541,a005f000002I7cpAAC,a045f000002aal8AAA
eros,243,a005f000002I7crAAC,a045f000002aal9AAA
sodales,934,a005f000002I7csAAC,a045f000002aalAAAQ
convallis,1009,a005f000002I7ctAAC,a045f000002aalBAAQ
consequat,715,a005f000002I7cuAAC,a045f000002aalCAAQ
accumsan,241,a005f000002I7cvAAC,a045f000002aakuAAA
arcu,280,a005f000002I7cxAAC,a045f000002aakvAAA
vel,539,a005f000002I7cyAAC,a045f000002aakwAAA
aliquet,835,a005f000002I7czAAC,a045f000002aakxAAA
Sed,761,a005f000002I7d0AAC,a045f000002aakyAAA
